Bangla Text, Equation
 Subtracting ninety-nine from one hundred equals one, xy=z
" If you multiply four by seven, you get twenty eight.",xy=z
 Subtracting fifty from four hundred is three hundred and fifty, xy=z
If one hundred is added to one hundred it will be two hundred, x + y = z
" If you subtract ten from one thousand, you get ninety nine", xy=z
 Subtracting twenty-five from fifty equals twenty-five., xy=z
" If you subtract fifty from one thousand, it will be nine hundred and fifty", xy=z
 The value of the factorial of four is twenty-four., x!=y
 Dividing seventy by two gives thirty-five., x/y=z
" If you subtract one hundred from one thousand, you get nine hundred", xy=z
" If you subtract twenty-two from thirty-three, you get eleven.", xy=z
 Adding five hundred to five hundred makes one thousand, x + y = z
Nine minus one hundred equals ninety one, xy=z
 Subtracting five hundred from seven hundred equals two hundred, xy=z
 Add one hundred and two to one hundred and two, x + y = z
 Multiplying by stopping five will be forty.,xy=z
" If you subtract one from one thousand, you get ninety nine", xy=z
 Add ten to nine hundred to get nine hundred and ten, x + y = z
" If you subtract one from four hundred, you get three hundred and ninety", xy=z
" If you subtract twenty-seven from forty-one, you get fourteen.", xy=z
 Fifteen multiplied by eight will be one hundred and twenty.,xy=z
"If you subtract ten from seven hundred, you get ninety six", xy=z
 Adding ten to seven hundred is seven hundred and ten, x + y = z
" If you multiply twelve by four, you get forty-eight.",xy=z
 Fourteen multiplied by two will be twenty eight.,xy=z
 Multiplying twenty-three by three gives sixty-nine.,xy=z
" If you subtract one hundred from one thousand, you get nine hundred", xy=z
 Multiplying eleven by eight makes eighty eight.,xy=z
" If you subtract two hundred from one thousand, you get eight hundred", xy=z
" If you subtract three hundred from one thousand, you get seven hundred", xy=z
 Multiplying thirty-two by three gives ninety-six.,xy=z
"If you subtract four hundred from one thousand, you get six hundred", xy=z
 Multiplying twenty-one by four makes eighty-four.,xy=z
 Adding one hundred to one thousand makes one thousand one hundred, x + y = z
 Multiplying thirty by three gives ninety.,xy=z
 Adding three hundred to one thousand makes one thousand and thirty, x + y = z
 Adding four hundred to one thousand makes one thousand and four hundred, x + y = z
 Thirty-four multiplied by two is sixty-eight.,xy=z
 Multiplying twelve by three gives thirty-six.,xy=z
 Subtracting twenty-four from fifty-eight gives thirty-four., xy=z
If you subtract twenty two from thirty it will be eight., xy=z
" If you subtract seventeen from thirty-five, you get eighteen.", xy=z
" If you multiply ten by eight, you get eighty.",xy=z
 One hundred minus four equals ninety-six, xy=z
" If you subtract four from eighty, you get seventy-six", xy=z
 Subtracting four from seventy equals sixty-six, xy=z
 Subtracting four from sixty equals fifty-six, xy=z
 Subtracting four from fifty equals forty-six, xy=z
 Subtracting four from thirty equals twenty-six, xy=z
 Twenty minus four equals sixteen, xy=z
If you multiply one thousand by two it will be two thousand,xy=z
 Two thousand multiplied by two is four thousand,xy=z
 Two thousand multiplied by three is six thousand,xy=z
 Two thousand multiplied by four is eight thousand,xy=z
 Two thousand multiplied by five is ten thousand,xy=z
 Two thousand multiplied by six is twelve thousand,xy=z
" If you multiply two thousand by seven, it will be fourteen thousand",xy=z
 Two thousand multiplied by eight is sixteen thousand,xy=z
Two thousand multiplied by nine is eighteen thousand,xy=z
 Four thousand multiplied by three will be twelve thousand,xy=z
 Four thousand multiplied by four will be sixteen thousand,xy=z
 Multiplying thirty-three by three gives ninety-nine.,xy=z
 Four thousand multiplied by five will be two thousand,xy=z
" If you subtract four from thirty-eight, you get thirty-four.", xy=z
 Four thousand multiplied by six is twenty four thousand,xy=z
 Thirty-three divided by three is eleven., x/y=z
Four thousand multiplied by seven is eight thousand,xy=z
" If you multiply four thousand by eight, it will be thirty two thousand",xy=z
 Subtracting sixteen from fifty equals thirty-four., xy=z
" If you multiply four thousand by nine, it will be thirty six thousand",xy=z
 Four thousand multiplied by ten will be forty thousand,xy=z
 Fifteen subtracted from thirty-two is seventeen., xy=z
 Subtracting sixty-eight from seventy-five is seven., xy=z
 Subtracting thirty-four from forty-three gives nine., xy=z
"If you subtract eighteen from eighty, you get sixty two.", xy=z
" If you subtract thirty-two from sixty-one, you get thirty-nine.", xy=z
" If you subtract sixty-seven from ninety-five, you get twenty-eight.", xy=z
" If you multiply by seven, it will be fifty-six.",xy=z
" If you multiply by nine, it will be seventy two.",xy=z
 Nine multiplied by two equals eighteen.,xy=z
 Subtracting fifty-five from one hundred is forty-five, xy=z
" If you multiply nine by ten, you get ninety.",xy=z
 Subtracting forty-four from one hundred gives fifty-six, xy=z
"If you subtract eighty from one hundred, you get twenty", xy=z
 Subtracting seventy from one hundred gives thirty, xy=z
" If you multiply five by one, you get five.",xy=z
 Thirty-four multiplied by two is sixty-eight.,xy=z
 Twenty times five is one hundred.,xy=z
 Sixteen divided by two is eight., x/y=z
 Thirty-six divided by nine is four., x/y=z
 Forty-two divided by six is seven., x/y=z
 Sixty-four divided by eight will be eight., x/y=z
 Twenty eight divided by four will be seven., x/y=z
Eighty divided by four is twenty, x/y=z
 Eighty divided by five is sixteen, x/y=z
 Eighty divided by ten is eight, x/y=z
 Eighty divided by eight is ten, x/y=z
 Eighty divided by twenty is four, x/y=z
 Seventy divided by ten is seven, x/y=z
 If you multiply one and three it will be three.,xy=z
 Seventy divided by two equals thirty-five, x/y=z
 Seventy divided by five is fourteen, x/y=z
 One hundred and one multiplied by three will be three hundred and three.,xy=z
 Ninety divided by five is eighteen, x/y=z
One hundred and one multiplied by four will be four hundred and four.,xy=z
 Ninety divided by ten is nine, x/y=z
 Karim bought a pen of fifteen rupees and a pencil of ten rupees and spent a total of twenty five rupees, x + y = z
 Sixty divided by two is thirty, x/y=z
 Sixty divided by five is twelve, x/y=z
" A man bought some eggs for thirty two rupees. If an egg costs four rupees, then this man bought eight eggs.", x/y=z
 Sixty divided by three is twenty, x/y=z
"Teams were formed with eight students in each group. If there are seventy-two students, there will be nine groups.", x/y=z
" A student is reading a book of forty two pages. If he reads six pages in a day, it will take him seven days to finish reading this book.", x/y=z
 There are ten mangoes in a basket. There are fifty mangoes in five baskets.,xy=z
 There are twenty mangoes in a basket. There are one hundred mangoes in five baskets.,xy=z
 Subtracting one from sixty equals sixty-nine, xy=z
Fifty-four divided by nine is six., x/y=z
 Subtracting two from sixty equals fifty-eight, xy=z
 Subtracting three from sixty equals fifty-seven, xy=z
 Sixty-three divided by seven is nine., x/y=z
 Thirty divided by six is five., x/y=z
" If you subtract four from sixty, you get fifty-six", xy=z
 Subtracting five from sixty equals fifty-five, xy=z
 Sixty minus six equals fifty-four, xy=z
" If you subtract twelve from forty-six, you get thirty-four.", xy=z
Subtracting twenty-six from sixty-eight gives forty-two., xy=z
" If you subtract fifty from fifty-eight, you get eight.", xy=z
" If you subtract thirty-nine from seventy-five, it will be forty-six.", xy=z
" If you subtract eighty-seven from ninety-four, you get seven.", xy=z
 Subtracting fourteen from forty gives twenty six., xy=z
" If you subtract fifty-six from sixty-three, you get seven.", xy=z
" If you subtract zero from twenty-eight, you get twenty-eight.", xy=z
 Adding zero to four equals four., x + y = z
 The value of the square root of four is two., √x=y
The value of the square root of one hundred is ten., √x=y
 The value of the square root of twenty-five is five., √x=y
 Seven is a prime number., others
 Ten is not a prime number., others
 One is a prime number., others
 Twenty three is a prime number, others
 Subtracting thirty from fifty-one gives twenty-one., xy=z
 Subtracting forty-five from forty-eight gives three., xy=z
 The value of the square root of four hundred is twenty., √x=y
 The value of the factorial of one is one., x!=y
 The value of the factorial of seven is five thousand and forty., x!=y
Subtracting ninety-seven from one hundred and one is four., xy=z
 Subtracting fifty-three from sixty is seven., xy=z
" If you subtract seventy-five from eighty-three, you get eight.", xy=z
 Multiplying twenty-five by five equals one hundred and twenty-five.,xy=z
 Eighteen divided by six is three., x/y=z
 Twenty divided by ten is two., x/y=z
 Forty-four divided by four is eleven., x/y=z
 Fifty divided by five is eleven., x/y=z
 Sixty-six divided by six is eleven., x/y=z
 Seventy-seven divided by seven will be eleven., x/y=z
Ninety-nine divided by nine is eleven., x/y=z
 Subtracting sixty-one from sixty-seven is six., xy=z
" If you subtract ninety from one hundred, you get ten.", xy=z
" If you subtract eighty from one hundred, you get twenty.", xy=z
" If you subtract seventy from one hundred, you get thirty.", xy=z
" If you subtract sixty from one hundred, you get forty.", xy=z
" If you subtract forty from one hundred, you get sixty.", xy=z
 Subtracting thirty from one hundred is seventy., xy=z
" If you subtract twenty from one hundred, you get eighty.", xy=z
Subtracting thirty-five from seventy equals thirty-five., xy=z
 Eighty-four divided by two will be forty-two., x/y=z
" If you subtract fifty-three from thirty-three, it will be thirty.", xy=z
 Multiplying twenty-three by four gives ninety-two.,xy=z
" If you subtract two from ninety-two, you get ninety.", xy=z
" If you subtract forty-five from ninety, you get forty-five.", xy=z
 Dividing seventy-two by two gives thirty-six., x/y=z
 Eighty divided by two will be forty., x/y=z
"If you subtract thirty-seven from forty-one, you get four.", xy=z
 Nineteen multiplied by one is nineteen.,xy=z
 Seventeen is a prime number., others
 Forty three is a prime number., others
 One hundred and one is a prime number., others
 Sixty-one multiplied by two is one hundred and twenty-two.,xy=z
 Dividing two by two equals one., x/y=z
" If you subtract seven from ninety-seven, you get ninety.", xy=z
 Adding seven to ninety makes ninety seven., x + y = z
 Adding fifteen to twenty-five makes forty., x + y = z
" If you subtract eight from thirty-eight, you get thirty.", xy=z
Subtracting three from twenty-three makes twenty., xy=z
 Multiplying three by one makes three.,xy=z
" If you multiply six by one, you get six.",xy=z
 Multiplying nine by one makes nine.,xy=z
 Multiplying ten by one gives ten.,xy=z
" If you subtract two from eleven, you get nine.", xy=z
 A man bought ten mangoes and divided them equally among five children. Each child got two mangoes., x/y=z
 Subtracting twenty-two from fifty-two gives thirty., xy=z
 man bought a big mango and divided it equally among three children. Each child got four mangoes., x/y=z
 A man bought a big mango and divided it equally between two children. Each child got six mangoes., x/y=z
" If you subtract fifty from seventy, you get twenty.", xy=z
 A man bought a big mango and divided it equally among four children. Each child got three mangoes., x/y=z
" If you subtract thirty from eighty, you get fifty.", xy=z
 man bought twelve mangoes and divided them equally among six children. Each child got two mangoes., x/y=z
 A man bought fourteen mangoes and divided them equally among two children. Each child got seven mangoes., x/y=z
 Subtracting forty-one from seventy-one gives thirty., xy=z
 A man bought fourteen mangoes and divided them equally among seven children. Each child got two mangoes., x/y=z
Subtracting thirty-seven from forty-three gives six., xy=z
 A man bought sixteen mangoes and divided them equally among two children. Each child got eight mangoes., x/y=z
 Sixty-six divided by six is eleven., x/y=z
 Multiplying thirty-one by three gives ninety-nine.,xy=z
 A man bought sixteen mangoes and divided them equally among four children. Each child got four mangoes., x/y=z
 man bought eighteen mangoes and divided them equally among two children. Each child got nine mangoes., x/y=z
 Thirteen multiplied by two is twenty-six.,xy=z
 A man bought twenty mangoes and divided them equally among two children. Each child got ten mangoes., x/y=z
 A man bought twenty mangoes and divided them equally among ten children. Each child got two mangoes., x/y=z
 man bought twenty mangoes and divided them equally among five children. Each child got four mangoes., x/y=z
 Subtract forty-eight from fifty-four to get six., xy=z
 Subtracting five from five equals zero., xy=z
 A man bought twenty mangoes and divided them equally among four children. Each child got five mangoes., x/y=z
" If you subtract fourteen from thirty-seven, you get twenty-three.", xy=z
 Five is a prime number., others
Adding thirteen to seventeen makes thirty., x + y = z
 The value of the square root of nine is three., √x=y
 The value of the square root of sixteen is four., √x=y
 Not the value of the square root of eighty-one., √x=y
The value of the square root of one hundred is ten., √x=y
" If you subtract twenty-five from sixty-three, you get thirty-eight.", xy=z
 Fifteen subtracted from forty-eight is thirty-three., xy=z
" If you subtract twenty-eight from seventy-five, you get forty-seven.", xy=z
" If you subtract twelve from thirty-nine, you get seventeen.", xy=z
" If you subtract eighteen from fifty-one, you get thirty-three.", xy=z
"If you subtract thirteen from forty-three, you get thirty.", xy=z
 Subtracting thirty-six from fifty-seven is twenty-one., xy=z
" If you subtract thirty-two from forty, you get eight.", xy=z
 Add twenty two to thirty to get fifty two., x + y = z
 Adding five to seventeen makes twenty-two., x + y = z
" If you subtract seventy-five from eighty-five, you get ten.", xy=z
 Adding nine to fourteen makes twenty-three., x + y = z
 Adding three to forty-nine makes forty-two., x + y = z
 Add thirty-five to forty-five to get eighty., x + y = z
Adding nine to one makes ninety., x + y = z
 Add fifty and sixteen to seventy one., x + y = z
 Thirty-eight divided by two is nineteen., x/y=z
 Forty-eight divided by six will be eight., x/y=z
 Fourteen multiplied by five equals seventy.,xy=z
 Subtracting two from one hundred equals ninety-eight, xy=z
 Subtracting three from one hundred equals ninety-seven, xy=z
" If you subtract four from one hundred, you get ninety-six", xy=z
 Subtracting five from one hundred equals ninety-five, xy=z
"If you subtract six from one hundred, you get ninety four", xy=z
" If you subtract seven from one hundred, you get ninety three", xy=z
" If you subtract eight from one hundred, you get ninety two", xy=z
" If you subtract nine from one hundred, you get ninety one", xy=z
" If you subtract eleven from one hundred, you get ninety nine", xy=z
" If you subtract twelve from one hundred, you get eighty eight", xy=z
" If you subtract thirteen from one hundred, you get eighty-seven", xy=z
" If you subtract fourteen from one hundred, you get eighty-six", xy=z
 Fifteen subtracted from one hundred is eighty five, xy=z
" If you subtract sixteen from one hundred, you get eighty-four", xy=z
"If you subtract seventeen from one hundred, you get eighty-three", xy=z
" If you subtract eighteen from one hundred, it will be Birashi", xy=z
" If you subtract nineteen from one hundred, you get eighty one", xy=z
 Subtracting twenty one from one hundred will be eighty nine, xy=z
 Subtracting twenty-two from one hundred equals seventy-eight, xy=z
 Subtracting twenty-three from one hundred equals seventy-seven, xy=z
 Subtracting twenty-four from one hundred equals seventy-six, xy=z
 Subtracting twenty-five from one hundred equals seventy-five, xy=z
 Subtracting twenty-six from one hundred equals seventy-four, xy=z
Subtracting twenty-seven from one hundred is seventy-three, xy=z
" If you subtract twenty-eight from one hundred, you get seventy-two", xy=z
" If you subtract thirty-nine from one hundred, you get seventy-one", xy=z
 Subtracting thirty from one hundred is seventy, xy=z
 Subtracting thirty-one from one hundred equals seventy-nine, xy=z
 Subtracting thirty-two from one hundred gives sixty-eight, xy=z
" If you subtract thirty-three from one hundred, you get sixty-seven", xy=z
 Subtracting thirty-four from one hundred gives sixty-six, xy=z
 Subtracting thirty-five from one hundred is sixty-five, xy=z
Subtracting thirty-six from one hundred gives sixty-four, xy=z
" If you subtract thirty-seven from one hundred, you get sixty-three", xy=z
" If you subtract thirty-eight from one hundred, you get sixty-two", xy=z
 Subtracting forty-nine from one hundred equals sixty-one, xy=z
" If you subtract forty from one hundred, you get sixty", xy=z
 Subtracting forty one from one hundred will be sixty nine, xy=z
" If you subtract forty-two from one hundred, you get fifty-eight", xy=z
 Subtract forty-three from one hundred and get fifty-seven, xy=z
 Subtracting forty-four from one hundred gives fifty-six, xy=z
 Subtract forty-five from one hundred and get fifty-five, xy=z
The value of the square root of one hundred and twenty one is eleven., √x=y
 Subtracting forty-six from one hundred equals fifty-four, xy=z
" If you subtract forty-seven from one hundred, you get fifty-three", xy=z
 Subtracting forty-eight from one hundred gives fifty-two, xy=z
" If you subtract twenty from thirty-three, you get sixty-three.", xy=z
 Subtracting fifty nine from one hundred will be fifty one, xy=z
 Subtracting forty-eight from one hundred gives fifty-two, xy=z
" If you multiply twenty one by four, you get eighty four.",xy=z
 Subtracting fifty-three from one hundred will be forty-seven, xy=z
 Thirty-four multiplied by two is sixty-eight.,xy=z
Seventy-eight divided by six is thirteen., x/y=z
 Multiplying thirty-two by three gives ninety-six.,xy=z
 Ninety divided by two is forty-five., x/y=z
" If you add two to fifty-three, you get fifty-fifty.", x + y = z
" If you multiply by nine, it will be seventy two.",xy=z
" If you subtract forty-two from fifty-nine, you get seven.", xy=z
 Twenty divided by five will be four., x/y=z
 Sixty-three divided by seven is nine., x/y=z
 Sixteen divided by two is eight., x/y=z
 Nine multiplied by three will be twenty seven.,xy=z
Four times ten is forty.,xy=z
 Thirty-six divided by nine will be four., x/y=z
 Forty-two divided by six is seven., x/y=z
" If you subtract eight from sixty-four, you get fifty-six.", xy=z
 Fifty divided by five is ten., x/y=z
" If you subtract fifty-five from ninety-five, you get forty.", xy=z
 Add fifty to thirty and you get eighty., x + y = z
 Add twenty-eight and forty-two to get seventy., x + y = z
 Adding twenty to forty-five makes sixty-five., x + y = z
 Add fifty seven and thirty three to get ninety., x + y = z
"If you subtract seventy-seven from eighty-eight, you get eleven.", xy=z
 Seventy-seven divided by seven will be eleven., x/y=z
 Subtracting five from fifty will be fifty., xy=z
 Multiplying twenty one by five is one hundred and five.,xy=z
 Subtracting twenty-six from fifty-six gives thirty., xy=z
 Add seventy and thirty to one hundred., x + y = z
" If you subtract three from thirteen, you get ten.", xy=z
" If you subtract eleven from thirty-one, you get twenty.", xy=z
 Adding two to twenty makes twenty two., x + y = z
Subtracting forty-two from fifty-two gives ten., xy=z
 Adding six to forty-eight makes fifty-four., x + y = z
 Adding eight to fifty-two makes sixty., x + y = z
 Adding twenty to twelve makes thirty-two., x + y = z
" If you multiply twenty-five by three, you get seventy-five.",xy=z
" If you subtract six from forty-seven, you get forty-one.", xy=z
" If you multiply six by eight, you get forty eight.",xy=z
 Eighty divided by seven will be four., x/y=z
 Fifty-six divided by seven will be eight., x/y=z
"If you subtract five from ninety-eight, you get ninety-three.", xy=z
 Subtracting thirty from one hundred is seventy., xy=z
 Eighty-six divided by two is forty-three., x/y=z
" If you subtract eighty-one from ninety-one, you get ten.", xy=z
" If nine is subtracted from nine, it will be zero.", xy=z
 Twenty-seven multiplied by two is fifty-four.,xy=z
 Subtracting sixty three from seventy will be seven., xy=z
 Subtracting six from thirty-six gives thirty., xy=z
 Adding twenty-four to fifteen makes forty-nine., x + y = z
 Add forty-three to thirty-three to get seventy-six., x + y = z
"If you multiply one hundred and one by one, you get one hundred and one",xy=z
" If you multiply one hundred and two by two, you get two hundred and four",xy=z
" If you multiply one hundred and three by three, you get three hundred and nine",xy=z
" If you multiply one hundred and four by four, you get four hundred and sixteen",xy=z
" If you multiply one hundred and five by five, you get five hundred and twenty five",xy=z
" If you multiply one hundred and six by six, you get six hundred and thirty-six",xy=z
 One hundred and seven multiplied by seven will be seven hundred and fifty nine,xy=z
" If you multiply one hundred and eight by eight, you get eight hundred and sixty four",xy=z
" If you multiply one hundred and nine by nine, you get nine hundred and eighty one",xy=z
"If you multiply two hundred and one by one, you get two hundred and one",xy=z
 Two hundred and one multiplied by two will be four hundred and two,xy=z
 Two hundred and one multiplied by three will be six hundred and three,xy=z
" If you multiply two hundred and five by two, you get four hundred and ten",xy=z
 Four hundred and one multiplied by three will be twelve and three,xy=z
" If you multiply four hundred and four by four, you get sixteen and sixteen",xy=z
 Four hundred and five multiplied by five will be two thousand and twenty five,xy=z
 Four hundred and six multiplied by six will be two thousand four hundred and thirty six,xy=z
Four hundred and seven multiplied by seven will be two thousand eight hundred and fifty nine,xy=z
 Four hundred and eight multiplied by eight will be three thousand two hundred and sixty four,xy=z
 Four hundred and nine multiplied by nine will be three thousand six hundred and eighty one,xy=z
" If you add twenty-seven to one hundred, you get one hundred and twenty-seven.", x + y = z
" If you add ten to forty-five, you get fifty-five.", x + y = z
 Adding thirty to one hundred is one hundred and thirty., x + y = z
 Subtracting three from thirty-five is thirty-two., xy=z
 Adding three to seventeen makes twenty., x + y = z
Thirty one multiplied by five will be one hundred and fifty five.,xy=z
" If you multiply ninety by one, you get ninety.",xy=z
 Sixty divided by three is twenty., x/y=z
 One hundred twenty divided by five is twenty four., x/y=z
 Forty-six divided by two is twenty-three., x/y=z
 Multiplying twenty three by eight will be one hundred and eighty four.,xy=z
 Adding eight to twelve makes twenty., x + y = z
 Subtract fifty-two from seventy-three to get twenty-one., xy=z
" If you subtract ninety-one from ninety-seven, you get six.", xy=z
"If you subtract thirteen from ninety-three, you get eighty.", xy=z
" If you subtract fourteen from forty-one, you get twenty-seven.", xy=z
" If you subtract four from ten, you get six.", xy=z
 If you subtract fifty four from sixty it will be six., xy=z
" If you subtract twenty from seventy-five, you get fifty-five.", xy=z
" If you subtract twelve from twenty two, you get ten.", xy=z
 Adding nine to thirteen makes twenty-two., x + y = z
" If you subtract nine from thirteen, you get four.", xy=z
 Fifteen multiplied by two gives thirty.,xy=z
 Ninety divided by nine is ten., x/y=z
Nine multiplied by ten is ninety.,xy=z
 Thirty multiplied by four will be one hundred and twenty.,xy=z
" If you multiply fifty by four, you get two hundred.",xy=z
 Thirty-two divided by two is sixteen., x/y=z
 Adding two to eight makes ten., x + y = z
 Adding nine to sixteen makes twenty-five., x + y = z
 Sixteen minus nine equals seven., xy=z
 If you multiply one with eleven it will be eleven.,xy=z
 Adding eleven to eleven makes twenty two., x + y = z
 Adding thirty-two to twenty-two makes fifty-four., x + y = z
"If you add two to one hundred, you get one hundred and two.", x + y = z
" If you multiply ten by eight, you get eighty.",xy=z
" If you subtract three from forty-three, you get forty.", xy=z
 Forty multiplied by three is one hundred and twenty.,xy=z
 Add seventeen and twenty-seven to forty-four., x + y = z
 The square root of fifty-nine is seven., √x=y
 The value of the square root of sixty-four will be eight., √x=y
 Add twenty-one and five to twenty-six., x + y = z
" If you subtract three from twenty-eight, you get twenty-five.", xy=z
" If you add thirty and sixty, you get ninety.", x + y = z
Multiplying twenty one by seven will be one hundred and forty seven.,xy=z
 Add sixty and fifty to one hundred and ten., x + y = z
" If you multiply ten and eleven, you get one hundred and ten.",xy=z
" If you subtract ten from eleven, you get one.", xy=z
" If you add one to one thousand, you get one thousand and one", x + y = z
" If you subtract forty from ninety, you get fifty.", xy=z
" If you add two to one thousand, you get one thousand and two", x + y = z
" If you add three to one thousand, you get one thousand and three", x + y = z
" If you add four to one thousand, you get one thousand and four", x + y = z
"If you add five to one thousand, you get one thousand and five", x + y = z
 Add twenty and eight to twenty eight., x + y = z
 Adding six to one thousand equals one thousand and six, x + y = z
" If you add seven to one thousand, you get one thousand and seven", x + y = z
 Add twenty-two and two to twenty-four., x + y = z
" If you add eight to one thousand, you get one thousand and eight", x + y = z
 Adding nine to one thousand makes one thousand and nine, x + y = z
" If you add ten to one thousand, you get one thousand and ten", x + y = z
" If you add eleven to one thousand, you get one thousand and eleven", x + y = z
Thirty divided by two will be fifteen., x/y=z
" If you add twelve to one thousand, you get one thousand and twelve", x + y = z
" If you add thirteen to one thousand, you get one thousand and thirteen", x + y = z
" If you add fourteen to one thousand, you get one thousand and fourteen", x + y = z
" If you add fifteen to one thousand, you get one thousand and fifteen", x + y = z
 Sixty-one multiplied by two is one hundred and twenty-two.,xy=z
" If you add sixteen to one thousand, you get one thousand and sixteen", x + y = z
 Add twenty one to twenty two., x + y = z
" If you add seventeen to one thousand, you get one thousand and seventeen", x + y = z
Adding twenty one and thirteen makes thirty four., x + y = z
 Adding nine and two makes eleven., x + y = z
 Add seven to forty-eight to get fifty-five., x + y = z
" If you subtract seventeen from twenty-three, you get six.", xy=z
 Adding nine and one makes ten., x + y = z
