Bangla Text,Equation
চারশ থেকে পঞ্চাশ বিয়োগ করলে তিনশপঞ্চাশ হয়,x-y=z
একশ এর একশ যোগ করলে দুইশ হবে,x+y=z
একহাজার থেকে দশ বিয়োগ করলে নয়শনব্বই হবে,x-y=z
পঞ্চাশ থেকে পঁচিশ বিয়োগ করলে পঁচিশ হবে।,x-y=z
একহাজার থেকে পঞ্চাশ বিয়োগ করলে নয়শপঞ্চাশ হবে,x-y=z
চারের ফ্যাক্টরিয়ালের মান চব্বিশ।,x!=y
সত্তরকে দুই দিয়ে ভাগ করলে পয়ত্রিশ হবে।,x/y=z
একহাজার থেকে একশ বিয়োগ করলে নয়শ হয়,x-y=z
তেত্রিশ থেকে বাইশ বিয়োগ করলে এগার হবে।,x-y=z
পাঁচশ এর সাথে পাঁচশ যোগ করলে একহাজার হয়,x+y=z
একশ থেকে নয় বিয়োগ করলে একানব্বই হয়,x-y=z
সাতশ থেকে পাঁচশ বিয়োগ করলে দুইশ হয়,x-y=z
একশ আর দুই যোগ করলে একশদুই হবে,x+y=z
পাঁচকে আটকে দিয়ে গুণ করলে চল্লিশ হবে।,xy=z
একহাজার থেকে এক বিয়োগ করলে নয়শনিরানব্বই হবে,x-y=z
নয়শ এর সাথে দশ যোগ করলে হবে নয়শো দশ,x+y=z
চারশ থেকে এক বিয়োগ করলে হবে তিনশনিরানব্বই,x-y=z
একচল্লিশ থেকে সাতাশ বিয়োগ করলে চৌদ্দ হবে।,x-y=z
পনেরো কে আট দিয়ে গুণ করলে একশ বিশ হবে।,xy=z
সাতশ থেকে দশ বিয়োগ করলে ছয়শনব্বই হবে,x-y=z
সাতশ এর সাথে দশ যোগ করলে সাতশদশ হবে,x+y=z
বারো কে চার দিয়ে গুণ করলে আটচল্লিশ হবে।,xy=z
চৌদ্দ কে দুই দিয়ে গুণ করলে আটাশ হবে।,xy=z
তেইশকে তিন দিয়ে গুণ করলে ঊনসত্তর হবে।,xy=z
একহাজার থেকে একশ বিয়োগ করলে নয়শ হয়,x-y=z
এগারো কে আট দিয়ে গুণ করলে আটাশি হবে।,xy=z
একহাজার থেকে দুইশ বিয়োগ করলে আটশ হবে,x-y=z
একহাজার থেকে তিনশ বিয়োগ করলে সাতশ হবে,x-y=z
বত্রিশকে তিন দিয়ে গুণ করলে ছিয়ানব্বই হবে।,xy=z
একহাজার থেকে চারশ বিয়োগ করলে ছয়শ হবে,x-y=z
একুশকে চার দিয়ে গুণ করলে চুরাশি হবে।,xy=z
একহাজার এর সাথে একশ যোগ করলে একহাজার একশ হবে,x+y=z
ত্রিশকে তিন দিয়ে গুণ করলে নব্বই হবে।,xy=z
একহাজার এর সাথে তিনশ যোগ করলে একহাজারতিনশ  হবে,x+y=z
একহাজার এর সাথে চারশ যোগ করলে একহাজারচারশ হবে,x+y=z
চৌত্রিশকে দুই দিয়ে গুণ করলে আটষট্টি হবে।,xy=z
বারো কে তিন দিয়ে গুণ করলে ছত্রিশ হবে।,xy=z
আটান্ন থেকে চব্বিশ বিয়োগ করলে চৌত্রিশ হবে।,x-y=z
ত্রিশ  থেকে বাইশ  বিয়োগ করলে আট হবে ।,x-y=z
পয়ত্রিশ থেকে সতের বিয়োগ করলে আঠারো  হবে।,x-y=z
দশকে আট দিয়ে গুণ করলে আশি হবে।,xy=z
একশ থেকে চার বিয়োগ করলে ছিয়ানব্বই হয়,x-y=z
আশি থেকে চার বিয়োগ করলে ছিয়াত্তর  হয়,x-y=z
সত্তর থেকে চার বিয়োগ করলে ছেষট্টি হয়,x-y=z
ষাট থেকে চার বিয়োগ  করলে ছাপ্পান্ন হয়,x-y=z
পঞ্চাশ থেকে চার বিয়োগ করলে ছেচল্লিশ হয়,x-y=z
ত্রিশ থেকে চার বিয়োগ  করলে ছাব্বিশ হয়,x-y=z
বিশ থেকে চার বিয়োগ করলে ষোল  হয়,x-y=z
একহাজার কে দুই দিয়ে গুন করলে দুইহাজার হবে,xy=z
দুইহাজারকে দুই দিয়ে গুন করলে চারহাজার হয়,xy=z
দুইহাজারকে তিন দিয়ে গুন করলে ছয়হাজার হয়,xy=z
দুইহাজারকে চার দিয়ে গুন করলে আটহাজার হয়,xy=z
দুইহাজারকে পাঁচ দিয়ে গুন করলে দশহাজার হয়,xy=z
দুইহাজারকে ছয় দিয়ে গুন করলে বারোহাজার হয়,xy=z
দুইহাজারকে সাত দিয়ে গুন করলে চোদ্দহাজার হবে,xy=z
দুইহাজারকে আট দিয়ে গুন করলে ষোলহাজার হয়,xy=z
দুইহাজারকে নয় দিয়ে গুন করলে আঠারোহাজার হয়,xy=z
চারহাজারকে তিন দিয়ে গুন করলে বারোহাজার হবে,xy=z
চারহাজারকে চার দিয়ে গুন করলে ষোলহাজার হবে,xy=z
তেত্রিশকে তিন দিয়ে গুণ করলে নিরানব্বই হবে।,xy=z
চারহাজারকে পাঁচ দিয়ে গুন করলে বিশহাজার হবে,xy=z
আটত্রিশ থেকে চার বিয়োগ করলে চৌত্রিশ  হবে।,x-y=z
চারহাজারকে ছয় দিয়ে গুন করলে চব্বিশহাজার হয়,xy=z
তেত্রিশ কে তিন দিয়ে ভাগ করলে এগার হবে।,x/y=z
চারহাজারকে সাত দিয়ে গুন করলে আঠাশহাজার হয়,xy=z
চারহাজারকে আট দিয়ে গুন করলে বত্রিশহাজার হবে,xy=z
পঞ্চাশ থেকে ষোল বিয়োগ করলে চৌত্রিশ হবে।,x-y=z
চারহাজারকে নয় দিয়ে গুন করলে ছত্রিশহাজার হবে,xy=z
চারহাজারকে দশ দিয়ে গুন করলে চল্লিশহাজার হবে,xy=z
বত্রিশ থেকে পনেরো বিয়োগ করলে সতেরো হবে।,x-y=z
পঁচাত্তর থেকে আটষট্টি বিয়োগ করলে সাত হবে।,x-y=z
তেতাল্লিশ থেকে চৌত্রিশ বিয়োগ করলে নয় হবে।,x-y=z
আশি থেকে আঠারো বিয়োগ করলে  বাষট্টি  হবে।,x-y=z
একষট্টি থেকে বত্রিশ বিয়োগ করলে ঊনত্রিশ হবে ।,x-y=z
পঁচানব্বই থেকে সাতষট্টি বিয়োগ করলে আটাশ হবে ।,x-y=z
আটকে সাত দিয়ে গুণ করলে ছাপ্পান্ন হবে।,xy=z
আটকে নয় দিয়ে গুণ করলে  বাহাত্তর হবে ।,xy=z
নয়কে দুই দিয়ে গুণ করলে আঠারো হবে।,xy=z
একশ থেকে পঞ্চান্ন বিয়োগ করলে পঁয়তাল্লিশ হবে,x-y=z
নয়কে দশ দিয়ে গুণ করলে নব্বই হবে ।,xy=z
একশ থেকে চুয়াল্লিশ বিয়োগ করলে ছাপ্পান্ন হবে,x-y=z
একশ থেকে আশি বিয়োগ করলে বিশ হবে,x-y=z
একশ থেকে সত্তর বিয়োগ করলে ত্রিশ হবে,x-y=z
পাঁচকে এক দিয়ে গুণ করলে পাঁচ হবে।,xy=z
চৌত্রিশ কে দুই দিয়ে গুণ করলে আটষট্টি হবে।,xy=z
বিশকে পাঁচ দিয়ে গুণ করলে একশ হবে।,xy=z
ষোল কে দুই দিয়ে ভাগ করলে আট হবে।,x/y=z
ছত্রিশকে নয় দিয়ে ভাগ করলে চার হবে।,x/y=z
বিয়াল্লিশকে ছয় দিয়ে ভাগ করলে সাত হবে।,x/y=z
চৌষট্টি কে আট দিয়ে ভাগ করলে আট হবে ।,x/y=z
আটাশ কে চার দিয়ে ভাগ করলে সাত হবে।,x/y=z
আশিকে চার দিয়ে ভাগ করলে বিশ হবে,x/y=z
আশিকে পাঁচ দিয়ে ভাগ করলে ষোল হবে,x/y=z
আশিকে দশ দিয়ে ভাগ করলে আট হবে,x/y=z
আশিকে আট দিয়ে ভাগ করলে দশ হবে,x/y=z
আশিকে বিশ দিয়ে ভাগ করলে চার হবে,x/y=z
সত্তর কে দশ দিয়ে ভাগ করলে সাত হবে,x/y=z
এক আর তিন গুন করলে তিন হবে।,xy=z
সত্তরকে দুই দিয়ে ভাগ করলে পঁয়ত্রিশ হয়,x/y=z
সত্তরকে পাঁচ দিয়ে ভাগ করলে চোদ্দ হবে,x/y=z
একশ এক কে তিন দিয়ে গুন করলে তিনশত তিন হবে।,xy=z
নব্বইকে পাঁচ দিয়ে ভাগ করলে আঠারো হবে,x/y=z
একশ এক কে চার দিয়ে গুন করলে চারশো চার হবে।,xy=z
নব্বইকে দশ দিয়ে ভাগ করলে নয় হবে,x/y=z
করিম পনের টাকার কলম এবং দশ টাকার পেন্সিল কিনে মোট পঁচিশ টাকা খরচ করে,x+y=z
ষাটকে দুই দিয়ে ভাগ করলে ত্রিশ হবে,x/y=z
ষাটকে পাঁচ দিয়ে ভাগ করলে বারো হয়,x/y=z
"একজন লোক বত্রিশ টাকা দিয়ে কিছু ডিম কিনলেন। যদি একটি ডিমের দাম চার টাকা হয়, তবে এই লোক আটটি ডিম কিনেছেন ।",x/y=z
ষাটকে তিন দিয়ে ভাগ করলে বিশ হবে,x/y=z
"প্রত্যেক দলে আট জন করে শিক্ষার্থী নিয়ে দল গঠন করা হলো। যদি বাহাত্তর জন শিক্ষার্থী থাকে, তবে নয়টি দল হবে ।",x/y=z
"একজন শিক্ষার্থী বিয়াল্লিশ পৃষ্ঠার একটি বই পড়ছে। যদি সে একদিনে ছয় পৃষ্ঠা পড়ে, তবে এই বই পড়ে শেষ করতে তার সাতদিন লাগবে ।",x/y=z
একটি ঝুড়িতে দশ টি আম আছে। পাঁচ টি ঝুড়িতে পঞ্চাশ টি আম আছে ।,xy=z
একটি ঝুড়িতে বিশ টি আম আছে। পাঁচ টি ঝুড়িতে একশ টি আম আছে ।,xy=z
ষাট থেকে এক বিয়োগ করলে ঊনষাট হয়,x-y=z
চুয়ান্ন কে নয় দিয়ে ভাগ করলে ছয় হবে।,x/y=z
ষাট থেকে দুই বিয়োগ করলে আটান্ন হয়,x-y=z
ষাট থেকে তিন বিয়োগ করলে সাতান্ন হবে,x-y=z
তেষট্টি কে সাত দিয়ে ভাগ করলে নয় হবে।,x/y=z
ত্রিশকে ছয় দিয়ে ভাগ করলে পাঁচ হবে।,x/y=z
ষাট থেকে চার বিয়োগ করলে ছাপ্পান্ন হবে,x-y=z
ষাট থেকে পাঁচ বিয়োগ করলে পঞ্চান্ন হবে,x-y=z
ষাট থেকে ছয় বিয়োগ করলে চুয়ান্ন,x-y=z
ছেচল্লিশ থেকে বারো বিয়োগ করলে চৌত্রিশ হবে।,x-y=z
আটষট্টী থেকে ছাব্বিশ বিয়োগ করলে বিয়াল্লিশ হবে।,x-y=z
আটান্ন থেকে পঞ্চাশ বিয়োগ করলে আট হবে।,x-y=z
পচাত্তর থেকে ঊনত্রিশ বিয়োগ করলে ছেচল্লিশ হবে ।,x-y=z
চুরানব্বই থেকে সাতাশি বিয়োগ করলে সাত হবে।,x-y=z
চল্লিশ থেকে চৌদ্দ বিয়োগ করলে ছাব্বিশ হবে।,x-y=z
তেষট্টি থেকে ছাপ্পান্ন বিয়োগ করলে সাত হবে ।,x-y=z
আটাশ থেকে শূন্য বিয়োগ করলে আটাশ হবে।,x-y=z
চার এর সাথে শূন্য যোগ করলে চার হবে।,x+y=z
চারের বর্গমূলের মান দুই।,√x=y
একশর বর্গমূলের মান দশ ।,√x=y
পঁচিশের বর্গমূলের মান পাঁচ ।,√x=y
সাত একটি মৌলিক সংখ্যা।,others
দশ কোনো মৌলিক সংখ্যা নয়।,others
এগার একটি মৌলিক সংখ্যা।,others
তেইশ একটি মৌলিক সংখ্যা,others
একান্ন থেকে ত্রিশ বিয়োগ করলে একুশ হবে।,x-y=z
আটচল্লিশ থেকে পঁয়তাল্লিশ বিয়োগ করলে তিন হবে।,x-y=z
চারশর বর্গমূলের মান বিশ।,√x=y
একের ফ্যাক্টরিয়ালের মান এক ।,x!=y
সাতের ফ্যাক্টরিয়ালের মান পাঁচ হাজার চল্লিশ।,x!=y
একশ এক থেকে সাতানব্বই বিয়োগ করলে চার হবে।,x-y=z
ষাট থেকে তেপ্পান্ন বিয়োগ করলে সাত হবে।,x-y=z
তিরাশি থেকে পঁচাত্তর বিয়োগ করলে আট হবে।,x-y=z
পঁচিশকে পাঁচ দিয়ে গুণ করলে একশ পঁচিশ হবে।,xy=z
আঠারো কে ছয় দিয়ে ভাগ করলে তিন হবে।,x/y=z
বিশকে দশ দিয়ে ভাগ করলে দুই হবে।,x/y=z
চুয়াল্লিশকে চার দিয়ে ভাগ করলে এগার হবে।,x/y=z
পঞ্চান্নকে পাঁচ দিয়ে ভাগ করলে এগার হবে।,x/y=z
ছেষট্টি কে ছয় দিয়ে ভাগ করলে এগার হবে।,x/y=z
সাতাত্তরকে সাত দিয়ে ভাগ করলে এগার হবে ।,x/y=z
নিরানব্বইকে নয় দিয়ে ভাগ করলে এগার হবে ।,x/y=z
সাতষট্টি থেকে একষট্টি বিয়োগ করলে ছয় হবে।,x-y=z
একশ থেকে নব্বই বিয়োগ করলে দশ হবে ।,x-y=z
একশ থেকে আশি বিয়োগ করলে বিশ হবে।,x-y=z
একশ থেকে সত্তর বিয়োগ করলে ত্রিশ হবে ।,x-y=z
একশ থেকে ষাট বিয়োগ করলে চল্লিশ হবে।,x-y=z
একশ থেকে চল্লিশ বিয়োগ করলে ষাট হবে।,x-y=z
একশ থেকে ত্রিশ বিয়োগ করলে সত্তর হবে।,x-y=z
একশ থেকে বিশ বিয়োগ করলে আশি হবে ।,x-y=z
সত্তর থেকে পয়ত্রিশ বিয়োগ করলে পয়ত্রিশ হবে।,x-y=z
চুরাশিকে দুই দিয়ে ভাগ করলে বিয়াল্লিশ হবে।,x/y=z
তিরাশি থেকে তেপ্পান্ন বিয়োগ করলে ত্রিশ হবে ।,x-y=z
তেইশকে চার দিয়ে গুণ করলে বিরানব্বই হবে।,xy=z
বিরানব্বই থেকে দুই বিয়োগ করলে নব্বই হবে ।,x-y=z
নব্বই থেকে পঁয়তাল্লিশ বিয়োগ করলে  পঁয়তাল্লিশ হবে।,x-y=z
বাহাত্তরকে দুই দিয়ে ভাগ করলে ছত্রিশ হবে।,x/y=z
আশিকে দুই দিয়ে ভাগ করলে চল্লিশ হবে ।,x/y=z
একচল্লিশ থেকে সাইত্রিশ বিয়োগ করলে চার হবে ।,x-y=z
উনিশ এর সাথে এক গুণ করলে উনিশ হবে।,xy=z
সতেরো একটি মৌলিক সংখ্যা।,others
তেতাল্লিশ একটি মৌলিক সংখ্যা ।,others
একশ এক একটি মৌলিক সংখ্যা ।,others
একষট্টিকে দুই দিয়ে গুণ করলে একশ বাইশ হবে।,xy=z
দুইকে দুই দিয়ে ভাগ করলে এক হবে।,x/y=z
সাতানব্বই থেকে সাত বিয়োগ করলে নব্বই হবে।,x-y=z
নব্বইয়ের সাথে সাত যোগ করলে সাতানব্বই হবে ।,x+y=z
পঁচিশের সাথে পনেরো যোগ করলে চল্লিশ হবে।,x+y=z
আটত্রিশ থেকে আট বিয়োগ করলে ত্রিশ হবে।,x-y=z
তেইশ থেকে তিন বিয়োগ করলে বিশ হবে।,x-y=z
তিনকে এক  দিয়ে  গুণ  করলে তিন হবে।,xy=z
ছয়কে এক দিয়ে গুণ করলে ছয় হবে।,xy=z
নয়কে এক দিয়ে গুণ করলে নয় হবে।,xy=z
দশকে এক দিয়ে গুণ করলে দশ হবে।,xy=z
এগার থেকে দুই বিয়োগ করলে নয় হবে।,x-y=z
একজন লোক দশটি আম কিনলেন এবং পাঁচ জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু দুইটি করে আম পেল ।,x/y=z
বায়ান্ন থেকে বাইশ বিয়োগ করলে ত্রিশ হবে।,x-y=z
একজন লোক বাড়টি আম কিনলেন এবং তিন জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু চারটি করে আম পেল ।,x/y=z
একজন লোক বাড়টি আম কিনলেন এবং দুই জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু ছয়টি করে আম পেল ।,x/y=z
সত্তর থেকে পঞ্চাশ বিয়োগ করলে বিশ হবে ।,x-y=z
একজন লোক বাড়টি আম কিনলেন এবং চার জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু তিনটি করে আম পেল ।,x/y=z
আশি থেকে ত্রিশ বিয়োগ করলে পঞ্চাশ হবে।,x-y=z
একজন লোক বারোটি আম কিনলেন এবং ছয় জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু দুইটি করে আম পেল ।,x/y=z
একজন লোক চৌদ্দটি আম কিনলেন এবং দুই জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু সাতটি করে আম পেল ।,x/y=z
একাত্তর থেকে একচল্লিশ বিয়োগ করলে ত্রিশ হবে।,x-y=z
একজন লোক চৌদ্দটি আম কিনলেন এবং সাত জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু দুইটি করে আম পেল ।,x/y=z
তেতাল্লিশ থেকে সাইত্রিশ বিয়োগ করলে ছয় হবে।,x-y=z
একজন লোক ষোল টি আম কিনলেন এবং দুই জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু আটটি করে আম পেল ।,x/y=z
ছেষট্টিকে ছয় দিয়ে ভাগ করলে এগার হবে ।,x/y=z
একত্রিশকে তিন দিয়ে গুণ করলে নিরানব্বই হবে।,xy=z
একজন লোক ষোলটি আম কিনলেন এবং চার জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু চারটি করে আম পেল।,x/y=z
একজন লোক আঠারোটি আম কিনলেন এবং দুই জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু নয়টি করে আম পেল ।,x/y=z
তেরকে দুই দিয়ে গুণ করলে ছাব্বিশ হবে।,xy=z
একজন লোক বিশটি আম কিনলেন এবং দুই জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু দশটি করে আম পেল ।,x/y=z
একজন লোক বিশটি আম কিনলেন এবং দশ জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু দুইটি করে আম পেল ।,x/y=z
একজন লোক বিশটি আম কিনলেন এবং পাঁচ জন শিশুকে সমানভাবে ভাগ করে দিলেন। প্রত্যেক শিশু চারটি করে আম পেল ।,x/y=z
চুয়ান্ন থেকে আটচল্লিশ বিয়োগ করলে ছয় হবে।,x-y=z
পাঁচ থেকে পাঁচ বিয়োগ করলে শূন্য হবে।,x-y=z
